Participating state,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Indiana,1.372993173,1.394383495,1.379530594,1.991657892,1.472415369,2.526343175,2.701810375,1.378218559,1.85875771,0.8205365193,1.953636788,2.713439876,2.404583924,0.8959489292,0.5360402984
Iowa,1.260568762,0.955647055,0.9146567649,1.109602127,0.6040856325,0.5726583914,0.5164544096,0.2724984979,0.3380140391,0.3697971226,0.1932308652,0.5459591635,0.3542970923,3.561675572,2.05823205
Kansas,3.515139265,5.104195836,5.145560901,4.88763627,5.558010597,2.59999211,2.761100138,3.586028832,2.401099103,2.567548508,2.261681677,1.890915041,2.861737991,0.3287231014,0.3188858892
Kentucky,1.174996188,1.715292989,1.249623486,1.674592198,4.668189741,5.401634978,4.328013135,5.310191846,3.945315618,3.715916158,4.270429005,4.65270704,8.505393162,2.69418431,2.987477872
Louisiana,0.5233790336,0.9600434289,1.232645544,2.739581515,0.4974857834,0.4966259994,0.2042465305,0.1807487245,0.6796223277,0.3325751851,1.023755437,0.7302445673,0.6905838887,5.283156981,3.273497829
Maine,4.313264044,4.464373542,5.466111249,4.785575819,3.79276053,4.592125183,4.140980042,3.912151141,1.882102112,2.105122289,2.858587196,3.004178061,2.395376325,1.275319701,0.7351810129
Maryland,3.481901611,3.775112287,2.669825842,1.775064848,1.789637577,1.385628812,0.8407270127,0.5947765365,0.860205768,0.2677193839,0.6826051075,0.6149809015,0.7931030437,1.494317112,1.413467519
Massachusetts,6.548841649,6.274816776,5.627763463,5.205491058,5.050637345,5.018757607,5.769344439,2.736741663,5.387556991,5.781707694,6.259252767,5.89066918,6.37007289,0.8112821868,0.2977332575
Michigan,6.40175344,6.542306733,6.313147205,5.741175506,3.191941182,3.132820135,3.615596093,6.38288914,3.37992007,3.195502048,3.142073586,4.051703391,4.592644055,5.230181475,5.728641064
Minnesota,4.184592533,3.18146003,3.021057347,3.810101741,5.968041722,4.706107304,3.706919893,1.877699193,2.936250934,1.853554797,2.08874883,2.297747532,2.650442088,4.332516086,4.353316796
Mississippi,0,0,0,0.5316356435,0.2416313986,1.383995974,0.1335459385,2.545374842,0.2671418229,0.07409300895,0,1.195653288,0.1466176768,2.297382279,1.879590199
Missouri,2.212311571,2.208286738,2.000091934,1.676682445,2.074040572,2.37149305,1.949429792,1.727663717,1.688721032,1.253834506,1.644876711,1.445025721,1.718607908,0.693821932,1.587251198
Montana,6.948735437,2.59855845,2.224333574,2.506689728,2.89180617,3.158151035,2.326576483,3.616600195,3.099950401,3.022054957,4.395359672,1.919297384,1.428564626,1.081140252,1.36560078
Nebraska,4.941646807,3.803712151,3.471704425,1.359780655,5.126358156,3.974824375,2.435208241,1.335678191,2.382157639,2.665429605,1.043270466,1.67873733,2.411775898,0.6589109708,3.03185341
Nevada,3.188660626,5.008958021,2.493211934,3.615152411,2.10545154,2.518004659,2.702700227,4.145347735,3.274508801,0.8467152564,2.006333788,1.394530312,0.1667756824,1.908942328,2.537021206
New Hampshire,3.13891976,3.44380869,4.20899727,3.868516169,2.068227374,2.682196875,1.869686267,2.445078479,1.782550864,1.13068269,1.025467081,2.19578566,1.003430188,1.087532527,1.432877971
New Jersey,8.465317148,8.699579119,8.612676317,8.574892117,6.313561841,6.177275521,5.759942165,0.8949907368,4.65257827,3.759822957,3.684518157,3.153354683,5.496553051,0.9868992915,1.218069451
New Mexico,1.472366141,1.639337544,1.192625147,0.7584069409,1.320026295,2.122385597,2.877156712,3.719532284,1.3500135,1.813084894,2.260979665,4.50639388,1.246938321,6.297342319,5.464182285
New York,3.164209512,3.458263202,3.214738815,3.252139209,3.346930998,3.620413664,2.818973599,1.220456367,3.151312499,2.773201148,2.529552509,3.014369169,2.804076579,1.461573917,6.104171347
North Carolina,1.052277003,1.193105995,1.010537481,1.35835645,1.098299395,0.9858609707,1.159940942,5.945415287,1.198458295,1.408046422,1.603315777,1.458755128,1.616080271,2.70301727,3.22434672
North Dakota,2.11073626,2.803859513,2.418876915,2.662216328,2.277678265,1.213351109,4.049311617,2.611355515,7.063506463,5.418761921,4.756072911,1.05611537,1.987797573,1.355268417,2.40267507
